Season,Arsenal,Chelsea,Liverpool,Manchester City,Manchester United,Tottenham Hotspur
1992,40,51,62,56,67,60
1993,53,49,59,38,80,54
1994,52,50,65,53,77,66
1995,49,46,70,33,73,50
1996,62,58,62,0,76,44
1997,68,71,68,0,73,44
1998,59,57,68,0,80,47
1999,73,53,51,0,97,57
2000,63,68,71,41,79,47
2001,79,66,67,0,87,49
2002,85,68,61,47,74,51
2003,73,67,55,55,64,47
2004,87,72,52,47,58,47
2005,68,72,57,43,72,53
2006,63,64,57,29,83,57
2007,74,65,67,45,80,66
2008,68,68,77,58,68,45
2009,83,103,61,73,86,67
2010,72,69,59,60,78,55
2011,74,65,47,93,89,66
2012,72,75,71,66,86,66
2013,68,71,101,102,64,55
2014,71,73,52,83,62,58
2015,65,59,63,71,49,69
2016,77,85,78,80,54,86
2017,74,62,84,106,68,74
2018,73,63,89,95,65,67
2019,56,69,85,102,66,61
2020,55,58,68,83,73,68
2021,61,76,94,99,57,69
2022,88,38,75,94,58,70
2023,91,77,86,96,57,74
